Equipamento,Escala,IMO,Inicio,Fim,Unidade,Quantidade
QC03,PTSIE518313234,0635106,2023-01-28 07:22:20,2023-01-29 00:18:47,Unidade,1296.0
QC01,PTSIE811746874,7267195,2024-08-24 15:04:01,2024-08-25 06:52:34,Unidade,574.0
QC03,PTSIE811746874,7267195,2024-08-25 06:52:34,2024-08-24 18:35:19,Unidade,208.0
QC05,PTSIE811746874,7267195,2024-08-24 18:35:19,2024-08-25 09:44:07,Unidade,271.0
QC04,PTSIE811746874,7267195,2024-08-25 09:44:07,2024-08-25 00:09:02,Unidade,112.0
QC10,PTSIE682269145,7308466,2023-05-31 04:43:11,2023-06-01 03:38:06,Quilograma,812376.5774788216
QC08,PTSIE682269145,7308466,2023-06-01 03:38:06,2023-05-31 12:10:01,Unidade,703.0
QC09,PTSIE682269145,7308466,2023-05-31 12:10:01,2023-05-31 06:03:22,Quilograma,783967.8737973375
QC07,PTSIE682269145,7308466,2023-05-31 06:03:22,2023-05-31 09:28:24,Unidade,254.0
FLEXIVEL 1,PTSIE682269145,7308466,2023-05-31 09:28:24,2023-05-31 09:05:51,Unidade,21.0
QC05,PTSIE307657585,1776806,2022-02-21 12:45:27,2022-02-21 16:45:49,Tonelada,491.1320948775036
QC04,PTSIE307657585,1776806,2022-02-21 16:45:49,2022-02-22 00:19:45,Unidade,979.0
QC02,PTSIE278294449,1920234,2022-04-29 21:02:21,2022-04-30 16:53:23,Unidade,697.0
QC03,PTSIE278294449,1920234,2022-04-30 16:53:23,2022-04-30 20:36:16,Unidade,828.0
QC04,PTSIE278294449,1920234,2022-04-30 20:36:16,2022-04-30 06:55:17,Unidade,66.0
QC05,PTSIE278294449,1920234,2022-04-30 06:55:17,2022-04-29 21:15:28,Unidade,229.0
QC09,PTSIE172797701,4770151,2023-03-27 06:18:28,2023-03-27 18:35:56,Unidade,161.0
QC08,PTSIE172797701,4770151,2023-03-27 18:35:56,2023-03-28 03:08:27,Quilograma,377819.7666042906
QC10,PTSIE172797701,4770151,2023-03-28 03:08:27,2023-03-27 20:28:50,Tonelada,48.14826689529525
QC06,PTSIE172797701,4770151,2023-03-27 20:28:50,2023-03-28 02:32:27,Unidade,134.0
QC07,PTSIE172797701,4770151,2023-03-28 02:32:27,2023-03-27 17:51:17,Tonelada,251.56846871298075
QC03,PTSIE479077620,6477939,2021-11-23 20:43:56,2021-11-24 00:51:47,Unidade,372.0
QC02,PTSIE479077620,6477939,2021-11-24 00:51:47,2021-11-24 18:42:45,Unidade,564.0
QC04,PTSIE479077620,6477939,2021-11-24 18:42:45,2021-11-23 22:49:45,Unidade,352.0
QC07,PTSIE010715492,4953631,2023-02-12 00:04:57,2023-02-12 08:31:43,Unidade,414.0
QC08,PTSIE010715492,4953631,2023-02-12 08:31:43,2023-02-12 06:16:06,Unidade,154.0
QC06,PTSIE010715492,4953631,2023-02-12 06:16:06,2023-02-12 04:31:55,Unidade,282.0
QC08,PTSIE424948694,7449025,2024-02-17 18:18:48,2024-02-18 15:51:03,Unidade,133.0
QC09,PTSIE424948694,7449025,2024-02-18 15:51:03,2024-02-17 21:57:10,Unidade,401.0
QC10,PTSIE424948694,7449025,2024-02-17 21:57:10,2024-02-17 18:19:38,Unidade,499.0
FLEXIVEL 1,PTSIE424948694,7449025,2024-02-17 18:19:38,2024-02-18 06:51:56,Tonelada,315.4154248074803
QC07,PTSIE424948694,7449025,2024-02-18 06:51:56,2024-02-18 08:40:00,Unidade,667.0
QC05,PTSIE834552269,4633355,2022-05-31 23:34:56,2022-06-01 23:17:38,Unidade,87.0
QC04,PTSIE834552269,4633355,2022-06-01 23:17:38,2022-06-01 06:32:25,Quilograma,440790.03659964877
QC03,PTSIE834552269,4633355,2022-06-01 06:32:25,2022-06-01 00:54:28,Unidade,93.0
QC06,PTSIE884996636,9153061,2022-06-11 22:23:34,2022-06-12 20:09:39,Unidade,28.0
QC05,PTSIE884996636,9153061,2022-06-12 20:09:39,2022-06-16 21:49:08,Tonelada,261.0004634196446
QC04,PTSIE884996636,9153061,2022-06-16 21:49:08,2022-06-13 08:35:52,Unidade,365.0
QC07,PTSIE884996636,9153061,2022-06-13 08:35:52,2022-06-13 10:48:27,Tonelada,682.3685490844301
QC03,PTSIE884996636,9153061,2022-06-13 10:48:27,2022-06-16 13:21:04,Quilograma,843325.5785871109
QC01,PTSIE731494082,6338034,2023-05-01 01:31:28,2023-05-01 22:38:35,Tonelada,813.515854463054
FLEXIVEL 1,PTSIE731494082,6338034,2023-05-01 22:38:35,2023-05-01 07:12:30,Quilograma,99810.82568971739
QC01,PTSIE445697384,2919446,2023-10-03 07:14:19,2023-10-03 18:26:28,Unidade,631.0
QC02,PTSIE445697384,2919446,2023-10-03 18:26:28,2023-10-03 10:45:15,Unidade,330.0
QC03,PTSIE445697384,2919446,2023-10-03 10:45:15,2023-10-03 08:50:52,Tonelada,629.5149859291733
QC10,PTSIE642036692,4462315,2023-05-01 08:53:16,2023-05-02 01:25:33,Unidade,800.0
QC09,PTSIE642036692,4462315,2023-05-02 01:25:33,2023-05-03 10:53:16,Quilograma,40108.0
QC02,PTSIE271736328,7317356,2023-01-03 14:04:40,2023-01-03 15:22:35,Unidade,208.0
FLEXIVEL 1,PTSIE271736328,7317356,2023-01-03 15:22:35,2023-01-04 07:40:06,Unidade,128.0
QC10,PTSIE469482994,0935376,2023-11-19 02:11:33,2023-11-19 08:41:35,Tonelada,482.50961507053415
QC08,PTSIE469482994,0935376,2023-11-19 08:41:35,2023-11-19 17:48:58,Quilograma,2864061.6057362454
QC09,PTSIE469482994,0935376,2023-11-19 17:48:58,2023-11-19 10:51:34,Unidade,661.0
QC07,PTSIE469482994,0935376,2023-11-19 10:51:34,2023-11-19 16:46:14,Tonelada,190.19997740864056
FLEXIVEL 1,PTSIE469482994,0935376,2023-11-19 16:46:14,2023-11-19 14:15:20,Unidade,268.0
QC06,PTSIE469482994,0935376,2023-11-19 14:15:20,2023-11-19 02:34:18,Unidade,96.0
QC05,PTSIE263455670,4664176,2022-07-31 04:55:34,2022-08-02 15:16:18,Unidade,172.0
QC06,PTSIE263455670,4664176,2022-08-02 15:16:18,2022-07-31 19:06:11,Unidade,251.0
QC07,PTSIE263455670,4664176,2022-07-31 19:06:11,2022-08-03 05:17:15,Unidade,215.0
QC04,PTSIE263455670,4664176,2022-08-03 05:17:15,2022-08-03 12:31:18,Tonelada,615.6246824970589
QC08,PTSIE263455670,4664176,2022-08-03 12:31:18,2022-08-01 07:48:23,Quilograma,246942.42734711542
QC03,PTSIE263455670,4664176,2022-08-01 07:48:23,2022-08-03 19:20:01,Unidade,100.0
FLEXIVEL 1,PTSIE619567368,5704590,2022-10-01 22:26:02,2022-10-02 08:56:08,Unidade,131.0
QC01,PTSIE619567368,5704590,2022-10-02 08:56:08,2022-10-01 23:33:16,Unidade,392.0
QC02,PTSIE619567368,5704590,2022-10-01 23:33:16,2022-10-02 14:36:33,Unidade,1118.0
QC03,PTSIE619567368,5704590,2022-10-02 14:36:33,2022-10-02 05:05:13,Tonelada,170.11508208844438
QC09,PTSIE817339760,4506230,2024-04-05 06:44:47,2024-04-05 09:57:11,Tonelada,200.41670355785547
QC10,PTSIE817339760,4506230,2024-04-05 09:57:11,2024-04-05 23:14:56,Quilograma,1385381.895595474
QC08,PTSIE817339760,4506230,2024-04-05 23:14:56,2024-04-06 06:13:45,Unidade,416.0
QC07,PTSIE817339760,4506230,2024-04-06 06:13:45,2024-04-05 18:23:13,Unidade,117.0
QC06,PTSIE522369561,5293180,2024-05-06 17:03:52,2024-05-07 06:57:20,Tonelada,82.09846970370154
QC05,PTSIE522369561,5293180,2024-05-07 06:57:20,2024-05-06 19:31:09,Unidade,308.0
QC04,PTSIE522369561,5293180,2024-05-06 19:31:09,2024-05-07 07:58:01,Quilograma,101719.61765004485
QC07,PTSIE522369561,5293180,2024-05-07 07:58:01,2024-05-07 12:58:22,Unidade,128.0
QC08,PTSIE522369561,5293180,2024-05-07 12:58:22,2024-05-06 19:01:29,Unidade,281.0
QC05,PTSIE364384564,5758779,2023-05-12 16:08:28,2023-05-12 23:35:22,Unidade,208.0
QC06,PTSIE364384564,5758779,2023-05-12 23:35:22,2023-05-13 03:37:22,Unidade,706.0
QC04,PTSIE364384564,5758779,2023-05-13 03:37:22,2023-05-12 19:56:32,Tonelada,483.9249287358223
QC07,PTSIE364384564,5758779,2023-05-12 19:56:32,2023-05-13 07:03:45,Unidade,76.0
QC07,PTSIE651577755,7696621,2023-05-21 02:39:19,2023-05-21 12:06:07,Unidade,406.0
QC06,PTSIE651577755,7696621,2023-05-21 12:06:07,2023-05-21 12:14:43,Tonelada,264.43643035309276
QC05,PTSIE651577755,7696621,2023-05-21 12:14:43,2023-05-21 13:56:26,Unidade,450.0
QC05,PTSIE165677933,9370146,2023-08-01 14:54:58,2023-08-01 16:59:02,Unidade,252.0
QC06,PTSIE165677933,9370146,2023-08-01 16:59:02,2023-08-01 18:44:20,Unidade,348.0
QC07,PTSIE165677933,9370146,2023-08-01 18:44:20,2023-08-01 18:57:47,Quilograma,895151.9463475556
QC08,PTSIE165677933,9370146,2023-08-01 18:57:47,2023-08-01 15:42:38,Quilograma,147722.34805779014
QC03,PTSIE034852838,4069792,2023-04-10 18:46:15,2023-04-11 00:20:44,Quilograma,71698.48239698587
QC04,PTSIE034852838,4069792,2023-04-11 00:20:44,2023-04-11 03:55:00,Unidade,370.0
QC01,PTSIE034852838,4069792,2023-04-11 03:55:00,2023-04-10 20:40:55,Unidade,220.0
QC09,PTSIE215704780,4590316,2023-05-20 23:02:58,2023-05-21 07:39:24,Tonelada,518.5868915675752
QC10,PTSIE215704780,4590316,2023-05-21 07:39:24,2023-05-21 06:09:41,Unidade,542.0
QC08,PTSIE215704780,4590316,2023-05-21 06:09:41,2023-05-21 10:29:25,Tonelada,313.17446927930143
QC01,PTSIE753450834,2306944,2023-12-21 23:56:00,2023-12-22 10:17:13,Unidade,4.0
QC02,PTSIE753450834,2306944,2023-12-22 10:17:13,2023-12-22 07:35:43,Unidade,330.0
QC10,PTSIE291760816,1043049,2022-09-02 13:15:22,2022-09-03 11:21:18,Unidade,237.0
QC09,PTSIE291760816,1043049,2022-09-03 11:21:18,2022-09-03 10:13:27,Unidade,192.0
QC03,PTSIE548040440,6809533,2023-07-24 13:20:04,2023-07-26 07:31:32,Unidade,355.0
QC04,PTSIE548040440,6809533,2023-07-26 07:31:32,2023-07-24 14:25:27,Unidade,38.0
QC05,PTSIE548040440,6809533,2023-07-24 14:25:27,2023-07-25 21:23:09,Tonelada,772.1638076573582
FLEXIVEL 1,PTSIE548040440,6809533,2023-07-25 21:23:09,2023-07-25 21:58:51,Quilograma,700513.5520205515
QC02,PTSIE548040440,6809533,2023-07-25 21:58:51,2023-07-25 14:44:47,Tonelada,540.263860695297
QC03,PTSIE453600863,8266450,2023-06-21 02:41:01,2023-06-22 01:35:11,Unidade,299.0
QC04,PTSIE453600863,8266450,2023-06-22 01:35:11,2023-06-21 06:55:45,Unidade,318.0
QC02,PTSIE453600863,8266450,2023-06-21 06:55:45,2023-06-21 11:44:02,Unidade,734.0
FLEXIVEL 1,PTSIE453600863,8266450,2023-06-21 11:44:02,2023-06-21 03:21:00,Unidade,773.0
QC04,PTSIE252066180,0106926,2023-11-16 17:26:05,2023-11-17 06:01:29,Unidade,137.0
QC05,PTSIE252066180,0106926,2023-11-17 06:01:29,2023-11-17 05:11:27,Quilograma,1150782.4807974175
QC07,PTSIE252066180,0106926,2023-11-17 05:11:27,2023-11-17 17:12:43,Tonelada,391.0143758171301
QC06,PTSIE252066180,0106926,2023-11-17 17:12:43,2023-11-17 01:12:14,Tonelada,84.98511956970913
QC04,PTSIE827165661,1490222,2023-01-29 18:14:29,2023-01-30 08:40:36,Tonelada,721.3723929298004
QC05,PTSIE827165661,1490222,2023-01-30 08:40:36,2023-01-29 21:19:50,Unidade,196.0
QC06,PTSIE827165661,1490222,2023-01-29 21:19:50,2023-01-29 22:54:58,Unidade,148.0
QC03,PTSIE417337992,6928854,2023-04-01 04:33:49,2023-04-02 03:13:45,Unidade,155.0
QC01,PTSIE417337992,6928854,2023-04-02 03:13:45,2023-04-01 18:14:33,Unidade,328.0
FLEXIVEL 1,PTSIE417337992,6928854,2023-04-01 18:14:33,2023-04-01 04:55:00,Quilograma,3784508.9710765127
FLEXIVEL 1,PTSIE417337992,6928854,2023-04-01 04:55:00,2023-04-01 13:30:27,Unidade,458.0
FLEXIVEL 1,PTSIE417337992,6928854,2023-04-01 13:30:27,2023-04-02 02:13:13,Quilograma,1050816.053547364
FLEXIVEL 1,PTSIE417337992,6928854,2023-04-02 02:13:13,2023-04-01 08:18:46,Unidade,371.0
QC06,PTSIE337853515,8906101,2024-01-18 18:35:20,2024-01-19 08:09:11,Unidade,694.0
QC05,PTSIE337853515,8906101,2024-01-19 08:09:11,2024-01-18 21:33:31,Unidade,526.0
QC07,PTSIE958454925,1042640,2022-11-24 14:04:53,2022-11-24 22:16:54,Quilograma,1407280.9575911346
QC08,PTSIE958454925,1042640,2022-11-24 22:16:54,2022-11-24 21:32:04,Unidade,301.0
QC09,PTSIE958454925,1042640,2022-11-24 21:32:04,2022-11-24 14:38:05,Unidade,131.0
QC10,PTSIE958454925,1042640,2022-11-24 14:38:05,2022-11-25 11:15:22,Unidade,21.0
QC06,PTSIE958454925,1042640,2022-11-25 11:15:22,2022-11-25 08:29:51,Unidade,299.0
QC03,PTSIE136614834,0552844,2024-02-02 09:51:42,2024-02-02 23:27:03,Unidade,88.0
QC02,PTSIE136614834,0552844,2024-02-02 23:27:03,2024-02-02 22:38:57,Unidade,344.0
QC02,PTSIE781025321,3469855,2022-08-23 16:10:12,2022-08-24 05:47:26,Unidade,264.0
QC08,PTSIE780791002,1121482,2023-02-13 02:24:03,2023-02-14 00:37:56,Unidade,562.0
FLEXIVEL 1,PTSIE780791002,1121482,2023-02-14 00:37:56,2023-02-13 02:50:02,Unidade,466.0
QC06,PTSIE811757392,0385445,2023-05-18 01:20:44,2023-05-18 06:56:14,Quilograma,549571.9818826569
QC05,PTSIE811757392,0385445,2023-05-18 06:56:14,2023-05-18 12:25:59,Tonelada,349.6150138341473
QC04,PTSIE811757392,0385445,2023-05-18 12:25:59,2023-05-18 14:22:58,Unidade,66.0
QC07,PTSIE811757392,0385445,2023-05-18 14:22:58,2023-05-19 01:20:19,Unidade,402.0
QC03,PTSIE811757392,0385445,2023-05-19 01:20:19,2023-05-18 14:25:56,Unidade,333.0
QC04,PTSIE632110340,3780154,2023-04-21 15:23:23,2023-04-22 13:36:17,Unidade,572.0
QC05,PTSIE632110340,3780154,2023-04-22 13:36:17,2023-04-21 23:27:38,Unidade,404.0
QC06,PTSIE632110340,3780154,2023-04-21 23:27:38,2023-04-21 17:56:20,Unidade,666.0
QC08,PTSIE632110340,3780154,2023-04-21 17:56:20,2023-04-22 14:55:45,Unidade,139.0
QC07,PTSIE632110340,3780154,2023-04-22 14:55:45,2023-04-21 19:26:19,Tonelada,340.58396724995043
QC03,PTSIE367679893,6193961,2023-01-28 02:26:17,2023-01-29 23:25:03,Unidade,61.0
QC04,PTSIE367679893,6193961,2023-01-29 23:25:03,2023-01-29 04:10:07,Unidade,313.0
QC04,PTSIE794382601,6217293,2024-10-14 09:04:23,2024-10-14 10:53:21,Unidade,209.0
QC05,PTSIE794382601,6217293,2024-10-14 10:53:21,2024-10-15 03:15:40,Unidade,389.0
QC06,PTSIE794382601,6217293,2024-10-15 03:15:40,2024-10-15 00:45:20,Unidade,173.0
QC08,PTSIE322877240,0411078,2022-01-24 12:02:27,2022-01-25 02:00:21,Unidade,348.0
QC09,PTSIE322877240,0411078,2022-01-25 02:00:21,2022-01-25 05:44:41,Tonelada,465.01867870184964
QC10,PTSIE322877240,0411078,2022-01-25 05:44:41,2022-01-25 11:17:36,Unidade,304.0
QC07,PTSIE322877240,0411078,2022-01-25 11:17:36,2022-01-25 00:56:07,Unidade,146.0
QC06,PTSIE322877240,0411078,2022-01-25 00:56:07,2022-01-24 17:06:09,Tonelada,274.0079660876225
QC02,PTSIE578294116,5392278,2023-04-12 12:47:09,2023-04-13 07:52:36,Unidade,454.0
QC03,PTSIE578294116,5392278,2023-04-13 07:52:36,2023-04-12 23:51:48,Unidade,242.0
QC02,PTSIE535978562,7637074,2022-07-22 10:06:37,2022-07-23 00:53:48,Unidade,215.0
QC03,PTSIE535978562,7637074,2022-07-23 00:53:48,2022-07-22 19:35:54,Unidade,139.0
QC01,PTSIE535978562,7637074,2022-07-22 19:35:54,2022-07-22 20:40:38,Quilograma,40108.0
QC04,PTSIE535978562,7637074,2022-07-22 20:40:38,2022-07-22 23:52:09,Unidade,164.0
QC10,PTSIE967240023,0857006,2024-06-04 02:22:30,2024-06-04 07:48:57,Unidade,167.0
QC09,PTSIE967240023,0857006,2024-06-04 07:48:57,2024-06-04 09:40:34,Unidade,230.0
QC08,PTSIE967240023,0857006,2024-06-04 09:40:34,2024-06-04 03:59:34,Unidade,195.0
QC07,PTSIE967240023,0857006,2024-06-04 03:59:34,2024-06-04 16:34:54,Tonelada,611.0288408300294
QC06,PTSIE967240023,0857006,2024-06-04 16:34:54,2024-06-04 12:28:39,Unidade,31.0
FLEXIVEL 1,PTSIE967240023,0857006,2024-06-04 12:28:39,2024-06-04 17:19:37,Unidade,252.0
FLEXIVEL 2,PTSIE967240023,0857006,2024-06-04 17:19:37,2024-06-04 06:46:55,Tonelada,315.4029756854269
QC05,PTSIE591738081,7888907,2024-05-03 11:42:30,2024-05-03 22:42:27,Unidade,187.0
QC06,PTSIE591738081,7888907,2024-05-03 22:42:27,2024-05-05 10:41:31,Tonelada,543.2821438634872
QC04,PTSIE591738081,7888907,2024-05-05 10:41:31,2024-05-04 03:46:01,Unidade,756.0
FLEXIVEL 1,PTSIE591738081,7888907,2024-05-04 03:46:01,2024-05-04 16:10:32,Unidade,287.0
QC09,PTSIE386453140,2633163,2023-02-23 23:09:48,2023-02-24 20:21:39,Unidade,351.0
QC10,PTSIE386453140,2633163,2023-02-24 20:21:39,2023-02-24 10:45:48,Unidade,1064.0
QC07,PTSIE386453140,2633163,2023-02-24 10:45:48,2023-02-24 15:35:31,Unidade,443.0
FLEXIVEL 1,PTSIE386453140,2633163,2023-02-24 15:35:31,2023-02-24 10:07:01,Unidade,44.0
QC04,PTSIE645718289,1327894,2023-03-09 03:37:55,2023-03-09 07:35:49,Unidade,169.0
QC06,PTSIE645718289,1327894,2023-03-09 07:35:49,2023-03-09 20:52:02,Quilograma,608924.4835676098
QC07,PTSIE645718289,1327894,2023-03-09 20:52:02,2023-03-09 14:20:06,Unidade,475.0
QC05,PTSIE645718289,1327894,2023-03-09 14:20:06,2023-03-09 08:15:13,Tonelada,629.3479361924468
QC04,PTSIE943954809,9993203,2024-06-09 11:40:29,2024-06-09 15:46:16,Unidade,355.0
QC05,PTSIE943954809,9993203,2024-06-09 15:46:16,2024-06-09 13:40:58,Tonelada,148.77517097901455
QC03,PTSIE667162151,4943684,2024-09-13 17:52:00,2024-09-14 16:18:11,Unidade,39.0
QC02,PTSIE667162151,4943684,2024-09-14 16:18:11,2024-09-14 03:41:39,Tonelada,382.25941813378
FLEXIVEL 1,PTSIE667162151,4943684,2024-09-14 03:41:39,2024-09-14 14:03:15,Quilograma,387163.69059790194
FLEXIVEL 2,PTSIE667162151,4943684,2024-09-14 14:03:15,2024-09-14 04:12:18,Unidade,224.0
QC09,PTSIE404255000,4976794,2022-07-26 18:41:44,2022-07-27 02:15:32,Unidade,97.0
QC10,PTSIE404255000,4976794,2022-07-27 02:15:32,2022-07-26 22:43:19,Unidade,85.0
QC08,PTSIE404255000,4976794,2022-07-26 22:43:19,2022-07-27 01:58:36,Quilograma,1387507.3435944319
QC04,PTSIE554919118,1566906,2022-09-09 19:03:16,2022-09-10 07:58:30,Unidade,582.0
QC05,PTSIE554919118,1566906,2022-09-10 07:58:30,2022-09-10 20:17:29,Unidade,702.0
QC06,PTSIE554919118,1566906,2022-09-10 20:17:29,2022-09-11 14:31:27,Tonelada,344.344468124507
QC05,PTSIE582761984,3546317,2022-12-17 23:30:54,2022-12-17 23:53:43,Unidade,106.0
QC06,PTSIE582761984,3546317,2022-12-17 23:53:43,2022-12-18 07:58:46,Unidade,359.0
QC04,PTSIE582761984,3546317,2022-12-18 07:58:46,2022-12-18 22:15:10,Unidade,175.0
QC08,PTSIE582761984,3546317,2022-12-18 22:15:10,2022-12-18 02:39:17,Unidade,593.0
QC06,PTSIE966764705,2107161,2022-10-18 21:07:49,2022-10-19 17:36:05,Unidade,236.0
QC04,PTSIE966764705,2107161,2022-10-19 17:36:05,2022-10-19 11:01:05,Quilograma,273540.8337306187
QC05,PTSIE966764705,2107161,2022-10-19 11:01:05,2022-10-19 03:01:52,Unidade,179.0
QC08,PTSIE477077366,8029736,2022-08-30 16:06:15,2022-08-31 15:04:33,Unidade,442.0
QC10,PTSIE477077366,8029736,2022-08-31 15:04:33,2022-08-31 10:56:42,Unidade,460.0
QC09,PTSIE477077366,8029736,2022-08-31 10:56:42,2022-08-31 06:39:49,Unidade,1183.0
QC07,PTSIE477077366,8029736,2022-08-31 06:39:49,2022-08-31 03:16:56,Tonelada,367.56644991386935
QC06,PTSIE477077366,8029736,2022-08-31 03:16:56,2022-08-31 13:54:21,Quilograma,3023279.377290087
QC06,PTSIE048258374,7026644,2022-08-18 21:59:27,2022-08-19 16:23:39,Unidade,404.0
QC07,PTSIE048258374,7026644,2022-08-19 16:23:39,2022-08-18 23:00:19,Tonelada,235.7669731931086
QC05,PTSIE048258374,7026644,2022-08-18 23:00:19,2022-08-19 13:05:44,Tonelada,131.80280774808733
QC04,PTSIE048258374,7026644,2022-08-19 13:05:44,2022-08-19 09:54:42,Unidade,152.0
QC06,PTSIE426207735,7342059,2024-09-18 22:24:33,2024-09-19 18:34:32,Unidade,491.0
QC05,PTSIE426207735,7342059,2024-09-19 18:34:32,2024-09-19 13:29:24,Unidade,321.0
QC04,PTSIE426207735,7342059,2024-09-19 13:29:24,2024-09-18 22:54:15,Tonelada,212.79399512664483
QC06,PTSIE475173242,2184103,2022-02-18 17:02:36,2022-02-18 17:56:52,Unidade,169.0
QC07,PTSIE475173242,2184103,2022-02-18 17:56:52,2022-02-18 18:17:59,Unidade,420.0
QC05,PTSIE475173242,2184103,2022-02-18 18:17:59,2022-02-18 19:43:36,Quilograma,1422316.049674088
FLEXIVEL 1,PTSIE475173242,2184103,2022-02-18 19:43:36,2022-02-19 12:31:20,Unidade,402.0
QC08,PTSIE475173242,2184103,2022-02-19 12:31:20,2022-02-18 18:13:58,Unidade,672.0
QC06,PTSIE096362041,0030550,2024-06-09 03:27:22,2024-06-09 04:08:53,Unidade,850.0
QC07,PTSIE096362041,0030550,2024-06-09 04:08:53,2024-06-09 10:38:15,Unidade,918.0
QC10,PTSIE029457592,5712157,2024-01-22 09:44:19,2024-01-23 08:35:36,Unidade,28.0
QC09,PTSIE029457592,5712157,2024-01-23 08:35:36,2024-01-23 06:08:20,Unidade,613.0
QC08,PTSIE029457592,5712157,2024-01-23 06:08:20,2024-01-22 15:39:56,Unidade,175.0
QC03,PTSIE160332118,9845617,2022-11-19 17:09:38,2022-11-20 14:25:09,Unidade,501.0
QC02,PTSIE160332118,9845617,2022-11-20 14:25:09,2022-11-19 23:20:21,Unidade,439.0
QC04,PTSIE160332118,9845617,2022-11-19 23:20:21,2022-11-20 00:31:38,Unidade,81.0
QC10,PTSIE227791480,2898890,2022-03-21 17:10:44,2022-03-22 09:22:37,Unidade,40.0
QC09,PTSIE227791480,2898890,2022-03-22 09:22:37,2022-03-22 15:54:03,Tonelada,447.05372370275865
QC08,PTSIE227791480,2898890,2022-03-22 15:54:03,2022-03-22 11:57:06,Tonelada,324.07558327771505
QC07,PTSIE227791480,2898890,2022-03-22 11:57:06,2022-03-22 05:40:49,Unidade,356.0
QC06,PTSIE227791480,2898890,2022-03-22 05:40:49,2022-03-21 17:58:28,Unidade,787.0
QC01,PTSIE097360852,0165975,2024-03-31 18:10:04,2024-03-31 18:20:25,Unidade,1114.0
QC02,PTSIE097360852,0165975,2024-03-31 18:20:25,2024-03-31 18:53:57,Unidade,106.0
QC08,PTSIE903838869,1768863,2022-10-26 12:46:46,2022-10-26 15:31:14,Unidade,239.0
QC09,PTSIE903838869,1768863,2022-10-26 15:31:14,2022-10-26 21:04:49,Unidade,418.0
QC10,PTSIE903838869,1768863,2022-10-26 21:04:49,2022-10-26 15:07:39,Quilograma,40108.0
QC07,PTSIE903838869,1768863,2022-10-26 15:07:39,2022-10-27 01:31:16,Unidade,94.0
QC04,PTSIE538879371,7335837,2023-07-27 08:02:06,2023-07-29 02:54:21,Unidade,418.0
QC05,PTSIE538879371,7335837,2023-07-29 02:54:21,2023-07-28 16:04:20,Unidade,70.0
QC03,PTSIE538879371,7335837,2023-07-28 16:04:20,2023-07-28 03:56:20,Unidade,319.0
QC06,PTSIE538879371,7335837,2023-07-28 03:56:20,2023-07-28 13:45:38,Unidade,165.0
QC05,PTSIE108569327,8260972,2024-01-04 04:24:15,2024-01-04 06:14:35,Tonelada,676.7571317010863
QC06,PTSIE108569327,8260972,2024-01-04 06:14:35,2024-01-04 09:57:21,Tonelada,178.6970536256527
QC04,PTSIE108569327,8260972,2024-01-04 09:57:21,2024-01-04 14:29:32,Unidade,300.0
